episode_overall,episode_in_season,Title,Directed by,Written by,air_date,prod_code,viewers_millions
93,21,"""Two Weeks""",Paul Lieberstein,Aaron Shure,"March 26, 2009",5021,8.65[114]
94,22,"""Dream Team""",Paul Feig,B. J. Novak,"April 9, 2009",5022,7.32[115]
95,23,"""Michael Scott Paper Company""",Gene Stupnitsky,Justin Spitzer,"April 9, 2009",5023,8.02[115]
96,24,"""Heavy Competition""",Ken Whittingham,Ryan Koh,"April 16, 2009",5024,8.37[116]
97,25,"""Broke""",Steve Carell,Charlie Grandy,"April 23, 2009",5025,7.28[117]
98,26,"""Casual Friday""",Brent Forrester,Anthony Q. Farrell,"April 30, 2009",5026,7.41[118]
99,27,"""Cafe Disco""",Randall Einhorn,Warren Lieberstein & Halsted Sullivan,"May 7, 2009",5027,7.85[119]
100,28,"""Company Picnic""",Ken Kwapis,Jennifer Celotta & Paul Lieberstein,"May 14, 2009",5028,6.77[120]
101,1,"""Gossip""",Paul Lieberstein,Paul Lieberstein,"September 17, 2009",6001,8.21[123]
102,2,"""The Meeting""",Randall Einhorn,Aaron Shure,"September 24, 2009",6002,7.46[124]
103,3,"""The Promotion""",Jennifer Celotta,Jennifer Celotta,"October 1, 2009",6003,7.41[125]
104,4,"""Niagara""‡",Paul Feig,Greg Daniels & Mindy Kaling,"October 8, 2009",6004,9.42[126]
105,5,,,,,6005,
,,,,,,,
106,6,"""Mafia""",David Rogers,Brent Forrester,"October 15, 2009",6006,8.03[127]
107,7,"""The Lover""",Lee Eisenberg,Lee Eisenberg & Gene Stupnitsky,"October 22, 2009",6007,8.73[128]
108,8,"""Koi Pond""",Reggie Hudlin,Warren Lieberstein & Halsted Sullivan,"October 29, 2009",6009,8.21[129]
109,9,"""Double Date""",Seth Gordon,Charlie Grandy,"November 5, 2009",6008,8.09[130]
110,10,"""Murder""",Greg Daniels,Daniel Chun,"November 12, 2009",6010,8.05[131]
111,11,"""Shareholder Meeting""",Charles McDougall,Justin Spitzer,"November 19, 2009",6011,7.39[132]
112,12,"""Scott's Tots""",B. J. Novak,Gene Stupnitsky & Lee Eisenberg,"December 3, 2009",6013,8.05[133]
113,13,"""Secret Santa""",Randall Einhorn,Mindy Kaling,"December 10, 2009",6014,8.51[134]
114,14,"""The Banker""",Jeffrey Blitz,Jason Kessler,"January 21, 2010",6012,7.28[135]
115,15,"""Sabre""",John Krasinski,Jennifer Celotta,"February 4, 2010",6015,7.37[136]
116,16,"""The Manager and the Salesman""",Marc Webb,Mindy Kaling,"February 11, 2010",6016,7.44[137]
117,17,"""The Delivery""‡",Seth Gordon,Daniel Chun,"March 4, 2010",6018,9.02[138]
118,18,,Harold Ramis,Charlie Grandy,,6019,
,,,,,,,
119,19,"""St. Patrick's Day""",Randall Einhorn,Jonathan Hughes,"March 11, 2010",6017,7.43[139]
120,20,"""New Leads""",Brent Forrester,Brent Forrester,"March 18, 2010",6020,7.67[140]
121,21,"""Happy Hour""",Matt Sohn,B. J. Novak,"March 25, 2010",6021,7.28[141]
122,22,"""Secretary's Day""",Steve Carell,Mindy Kaling,"April 22, 2010",6022,6.30[142]
123,23,"""Body Language""",Mindy Kaling,Justin Spitzer,"April 29, 2010",6023,7.01[143]
124,24,"""The Cover-Up""",Rainn Wilson,Gene Stupnitsky & Lee Eisenberg,"May 6, 2010",6024,6.84[144]
125,25,"""The Chump""",Randall Einhorn,Aaron Shure,"May 13, 2010",6025,6.60[145]
